Group,Label,Description
0,Romantic Suspense,"Speculative fiction involving magical elements, typically set in a fictional universe and usually inspired by mythology or folklore."
1,Historical Adventure,"Primary focuses on the relationship and romantic love between two people, typically with an emotionally satisfying and optimistic ending."
2,Small Town Dram,"Action & adventure books contain a risk-filled journey and a thrilling series of action sequences. The threat of danger is ever-present, and the plot moves quickly. "
3,American Drama,Children’s fiction includes made-up stories that are written specifically for children. They cover themes and language that are age-appropriate and can contain many different book genres and subgenres within the pages. 
4,Childhood Adventure,Classics are fictional books that have stood the test of time and are considered exceptional works of literature. Classic fiction is often used in academic discussions. 
5,Sensual Mystery,"Contemporary fiction stories are set in modern times and don’t contain any elements of fantasy (see below). These stories give the reader a window into a specific human experience. Some may be written for entertainment, and others may be written as political or social statements. "
6,Business Drama,"Books in the fantasy genre include supernatural or magical elements. These can be set on Earth, or in completely made-up worlds. A fantasy book series is not bound by the laws of science, physics, or even reality. "
7,Fantasy Adventure,"Graphic novels are works that are highly illustrated, with a series of comic panels and speech bubbles to tell the story. Graphic novels aren’t limited in terms of scope and can be used to cover many different book genres in our list of genres. "
8,Street Thriller,These are fiction books that are inspired by real events in history but are not factual retellings. They allow readers to be transported into the past through the eyes of one or more characters.
9,Author Drama,"Horror is an increasingly popular book genre, with many subgenres nested under it. Horror stories are fictional works meant to disturb or frighten."
10,Mystery Fiction,Any fiction book that places LGBTQ+ characters at the forefront is considered LGBTQ+ fiction. It can otherwise fall into a number of genres on this master list of book genres.
11,Romantic Journey,Literary fiction is fiction writing that is considered highly valuable and artistic. These books often cover serious topics that make the reader stop and think. They can blend with many genres in this list of book genres. 
12,Family Drama,Mystery books contain an event (often a murder or a crime) that remains a mystery until the end of the book. These page-turners keep you guessing and often feature big plot twists. 
13,Psychological Romance,New adult books are a newly developing genre of fiction with protagonists in the 18–29 age range. New adult fiction includes more adult themes and graphic sex scenes than young adult books but still focuses on story arcs about coming-of-age of finding identity.
14,Corporate Thriller,Romance books turn some real profit for authors and center around would-be lovers and the obstacles they face in getting together.
15,Literary Drama,"Satire books use humor and irony to poke fun at (or discredit) politics, systems of government, or societal norms."
16,Dark Fiction,"On our list of book genres, science fiction is most closely related to fantasy, with made-up worlds and species. But where science fiction and fantasy differ is that science and technology are at the root of science fiction stories. They still follow the laws of physics and possibility – not magic.  "
17,Romantic Mystery,"Short stories are stories that are anywhere from 1,000 – 15,000 words in length, and they can be a mix of any topics on our list of genres."
18,Detective Mystery,"A thriller often shares many attributes of mystery novels, but not all mysteries are thrillers, and not all thrillers are mysteries. So what differentiates these two items on our list of book genres?"
19,Interactive Adventure,"These books take place in the American Old West and feature plots with cattle ranches, bounty hunters, and shootouts. "
20,Historical Fiction,Women’s fiction can cover a variety of topics on our list of book genres and refers to any book written about the female experience or the role of women in society
21,Celebrity Romance," young adult fiction can cover most topics on our list of book genres, but they are written for and about young adults, typically between ages 13-17. These books often cover coming-of-age story arcs and the trials of adolescence.  "
22,Fantasy Drama,"Art and photography books can be written about art, or be more visual books that showcase art and photography. These make great coffee table books.  "
23,Emotional Drama,Memoirs and autobiographies are written by the author about their own life. They focus on the author’s life trials and accomplishments. 
24,Haunted Drama,Memoirs and autobiographies are written by the author about their own life. They focus on the author’s life trials and accomplishments. 
25,Mystery Detective,"An essay is a short piece of writing where the author gives their thoughts (and often an argument) on a specific topic. They may be reflections and observations of the author, or a political statement. "
26,Military Adventure,"Cookbooks can be simple collections of recipes, or contain information about the chef’s life or home country. They can cover food, beverages, or both. "
27,Literary Mystery,"Historical nonfiction is a well-researched, factual accounting of a historical event or time period. "
28,Paranormal Mystery,"How-to books teach the reader how to get better at a craft, skill, or hobby, or give them an overview of all the information they need to know on a specific topic. "
29,Historical Romance,"Books in the humanities study human society and relationships – and can include anthropology, sociology, politics, and many other subjects."
30,Psychological Thriller,Humor books are written with one goal in mind – to make the reader laugh! They are often satirical essays or memoirs. 
31,Intimate Mystery,Parenting books teach parents how to raise their children – including how to prepare for their arrival!
32,American Adventure,"Philosophy nonfiction explores ethics, moral dilemmas, and the purpose of life on earth."
33,Illustrated Mystery,"Books on religion and spirituality cover a range of topics, from actual religious texts like the Bible and the Quran to books on spiritual philosophies, mindfulness, and energy healing."
34,Political Thriller,Science and technology books are written about the sciences – either to help readers have a greater understanding of them or to teach about the evolution of technology. 
35,Supernatural Mystery,Self-help books cover topics from finances to organization to mental health and help readers improve themselves in some way. 
36,Sci-Fi Adventure,Travel books can be travel guides to various countries or memoirs of the author’s own travels.
37,True crime,True crime books describe actual crimes from start to finish.
