Group,Sentences,
0,"Chief of Police Mitch McKee thinks he can handle just about anything -- until his first love Katie Sutherland, shows up, with a plan to raise some hell and a body made for sin.....
Golden girl Katie Sutherland has spent her whole life always doing the right thing.",
0,"In 1959, she decided to leave the BBC to create her own studio in her converted oasthouse at Wrotham, Kent.",
0,"A generation is developing, or has already developed, which is all too ready to accept or join in such violent goings-on; and there are many among them who have a passionate belief that youth is in itself a virtue which entitles its possessors to rule the earth they must inherit, now.",
0,"Will Dymas, a young man who's quite different because of his love for life and of others, change the Minotaur's mind so he doesn't bee its next meal?",
0,He and his friend Stephen Maturin take passage for England in a dispatch vessel.,
1,"With two weeks of isolation at a remote mountain cabin planned for the holidays, she'll have all the time she needs to prove him wrong.",
1,"But with a storm coming and danger on the horizon, time might be the one thing they don't have.",
1,"Fun first books to pick up and carry around, for toddlers on the go
Featuring easy-grip, die-cut handles, these all-new board books are just the right size for toddlers' hands.",
1,"She's the record high bid and soon-to-be-bride of the worst lecher in the pany, until her boss outbids all and saves her.-
---- Matt Westland spends a fortune to marry his former employee, Sophie.",
1,"Okay, so there're currently only two members of the band, but with Brent's help, that'll soon change.",
2,"Chased across Myrillia by enemies both human and ethereal, aided only by outcasts like himself, Tylar must uncover and face down a being powerful enought to kill an immortal--the true godslayer.",
2,"Total self-control has kept her safe, but it's also left her isolated.",
2,Princess Vezenski had asked Caroline to be a bridesmaid at her wedding.,
2,"Their chance encounter has repercussions neither of them could foresee, but Rebecca has no intention of marrying Josh just to protect her reputation.",
2,"The sun has returned to the Land of Night and Liall has claimed a throne he never wanted, but many still oppose the presence of his beloved Scarlet at court.",
3,"Here are stories of parental love, like the Dalmatian who mothers a newborn lamb--a lamb that just happens to be white with black spots!",
3,"You will relish the characters in her life: Tippy the intelligent and lively fox terrier, Elwin Doris' paraplegic Uncle, Great-grandmother Arrowood who had a proverb for every occasion, her father, Alex who she dearly loved, Peter McAllister Alex's father who married five times yet left his son to be raised by his in-laws, Squirt and Squeak her younger brother and sister.",
3,"She will do just about anything to keep it hidden, even if means joining the ultra-conservative, no fun allowed, Purity Club.",
3,"Trapped in this dangerous and desperate world, she suffered the brutality and horrors of human trafficking - rape, torture, deprivation - until she managed to escape with the help of a French aid worker.",
3,Angela McCluskey comes to Birmingham from Ireland with her family as a young girl to escape the terrible poverty in her homeland.,
4,"Despite being broken in ways she refuses to acknowledge, she bears a terrible burden: to somehow prevent the return of the legendary Voidbringers and the civilization-ending Desolation that will follow.",
4,Ricky Ricotta and his Mighty Robot are in big trouble.,
4,"A gate to another dimension has burst open, and invincible monsters called Neighbors invade Earth.",
4,"As one child goes to bed, another child is waking up on the other side of the world.",
4,The last thing on her mind is falling in love.,
5,"She is now the author of three collections of poetry, and her work has been published in Australia and overseas.",
5,"When his loyal right hand man, Gunnvor goes missing on a routine hunt, all hell breaks loose.",
5,The D C Killer is hiding... in the White House.,
5,Something is not right about the place.,
5,"The men in Gavin's stories all find themselves stuck somewhere in the middle, caught half way between their dreams and the often crushing reality of their lives.",
6,"But when she runs into the man who broke her heart years ago, Elisabeth questions her past--and future--choices.",
6,"But she makes one mistake, and the villagers begin to suspect she is using occult spells to harm them.",
6,"Six stories in quest of the hidden treasures of Asia's past from Japanese historical fiction writer, Yasushi Inoue.",
6,"A woman who's been battered, but won't be broken...
Elletra Gallagher has always been confident, strong, and tougher than most men.",
6,"Throughout the nation, a new ic book filled the stands, heralding an era of creativity soon to be dubbed the Marvel Age of Comics.",
7,Within hours her life has changed.,
